state;location;zipcode;lon;lat
01;Rathjensdorf;24306;10,427748;54,185702
01;Wittmoldt;24306;10,349133;54,174882
01;Preetz-Land;;;
01;Barmissen;24245;10,175384;54,204995
01;Boksee;24220;10,127708;54,242982
01;Bothkamp;24250;10,134422;54,203356
01;Großbarkau;24245;10,169008;54,225363
01;Honigsee;24211;10,187224;54,228283
01;Kirchbarkau;24245;10,142365;54,211515
01;Klein Barkau;24245;10,135269;54,222719
01;Kühren;24211;10,258367;54,198376
01;Lehmkuhlen;24211;10,361157;54,225915
01;Löptin;24250;10,215744;54,175217
01;Nettelsee;24250;10,189086;54,174112
01;Pohnsdorf;24211;10,249321;54,239647
01;Postfeld;24211;10,21641;54,211309
01;Rastorf;24211;10,289064;54,272603
01;Schellhorn;24211;10,299476;54,227597
01;Wahlstorf;24211;10,294716;54,178083
01;Warnau;24250;10,160154;54,18792
01;Probstei;;;
01;Barsbek;24217;10,320134;54,404132
01;Bendfeld;24217;10,419437;54,364157
01;Brodersdorf;24235;10,249254;54,385481
01;Fahren;24253;10,33813;54,349552
01;Fiefbergen;24217;10,34277;54,379311
01;Höhndorf;24217;10,370674;54,372619
01;Köhn;24257;10,455111;54,34444
01;Krokau;24217;10,341593;54,402446
01;Krummbek;24217;10,400709;54,37814
01;Laboe;24235;10,224323;54,404031
01;Lutterbek;24235;10,276816;54,391952
01;Passade;24253;10,316786;54,366581
01;Prasdorf;24253;10,296264;54,378679
01;Probsteierhagen;24253;10,288376;54,362604
01;Schönberg (Holstein);24217;10,372476;54,39239
01;Stakendorf;24217;10,422791;54,388445
01;Stein;24235;10,268846;54,414659
01;Stoltenberg;24256;10,346508;54,344759
01;Wendtorf;24235;10,292376;54,409817
01;Wisch;24217;10,344122;54,411023
01;Selent/ Schlesen;;;
01;Dobersdorf;24232;10,281513;54,31849
01;Lammershagen;24238;10,443923;54,274509
01;Martensrade;24238;10,392528;54,279612
01;Mucheln;24238;10,442687;54,246421
01;Schlesen;24256;10,328605;54,321544
01;Selent;24238;10,425868;54,290473
01;Fargau-Pratjau;24256;10,379022;54,318981
01;Schrevenborn;;;
01;Heikendorf;24226;10,207126;54,371303
01;Mönkeberg;24248;10,187105;54,348118
01;Schönkirchen;24232;10,223696;54,336531
01;Bokhorst-Wankendorf;;;
